,Rank,Team,Gold,Silver,Bronze,S Tier,Earnings,tournaments won
0,1,Sentinels,12,3,1,1,113550,17
1,2,Acend,5,1,1,1,113450,8
2,3,Gambit Esports,8,3,0,1,112870,12
3,4,Team Liquid,4,2,2,0,112650,8
4,5,G2 Esports,7,2,1,0,107735,10
5,6,Team Envy,2,2,2,0,104394,6
6,7,100 Thieves,2,3,2,0,104093,7
7,8,Vision Strikers,17,0,0,0,103829,17
8,9,Fnatic,1,2,2,0,103574,5
9,10,KRÜ Esports,7,3,1,0,102773,11
10,11,Cloud9,6,5,5,0,102626,16
11,12,FunPlus Phoenix,4,2,0,0,101918,6
12,13,ZETA DIVISION,9,3,1,0,101115,13
13,14,NUTURN Gaming,2,1,1,0,94754,4
14,15,TSM,9,2,0,0,92750,11
15,16,X10 CRIT,9,1,1,0,70399,11
16,17,Team Vikings,3,0,0,0,68163,3
17,18,XSET,3,2,1,0,68083,6
18,19,Velocity Gaming,19,8,4,0,60855,31
19,20,FaZe Clan,2,3,0,0,60250,5
20,21,Crazy Raccoon,3,3,0,0,59250,6
21,22,Team Heretics,6,1,0,0,58120,7
22,23,Version1,2,1,0,0,54950,3
23,24,Paper Rex,10,5,1,0,53980,16
24,25,Gen.G Esports,4,4,2,0,51200,10
25,26,BBL Esports,3,1,0,0,50477,4
26,27,Futbolist,5,1,3,0,48903,9
27,28,forZe,10,3,2,0,48570,15
28,29,Global Esports,18,7,2,0,48469,27
29,30,FURIA Esports,1,1,2,0,48424,4
30,31,Guild Esports,0,4,1,0,48061,5
31,32,Luminosity Gaming,2,2,4,0,47905,8
32,33,Anubis Gaming,11,3,0,0,47557,14
33,34,Ninjas in Pyjamas,4,2,2,0,46685,8
34,35,Gamelanders Blue,8,3,0,0,45750,11
35,36,FULL SENSE,7,3,1,0,44600,11
36,37,Bren Esports,13,2,0,0,43977,15
37,38,BOOM Esports,9,6,2,0,43800,17
38,39,Cloud9 White,4,0,0,0,42531,4
39,40,NRG,1,3,1,0,42375,5
40,41,Immortals,1,2,5,0,41980,8
41,42,Keyd Stars,4,2,1,0,41550,7
42,43,The Guard,2,0,0,0,41514,2
43,44,TNL Esports,1,1,0,0,40700,2
44,45,Oxygen Esports,1,6,1,0,39316,8
45,46,Australs,6,4,0,0,38480,10
46,47,SuperMassive Blaze,1,1,0,0,38350,2
47,48,Shopify Rebellion,4,2,2,0,38200,8
48,49,E-Xolos LAZER,5,5,3,0,38200,13
49,50,Liberty,2,2,0,0,37610,4
50,51,Rise,3,2,1,0,37341,6
51,52,Giants,6,4,1,0,36069,11
52,53,Team RA'AD,7,5,3,0,35806,15
53,54,DAMWON Gaming,0,1,1,0,35800,2
54,55,Team Secret,0,1,0,0,35400,1
55,56,Alter Ego,7,5,4,0,35335,16
56,57,Enigma Gaming,5,7,7,0,33985,19
57,58,Sharks Esports,0,1,0,0,33722,1
58,59,One Breath Gaming,8,5,0,0,33133,13
59,60,fish123,7,2,0,0,33060,9
60,61,Gamelanders Purple,14,2,1,0,32166,17
61,62,Team Singularity,1,3,1,0,31260,5
62,63,Infinity,11,4,2,0,31096,17
63,64,ORDER,6,3,0,0,30575,9
64,65,Dignitas Female,3,2,2,0,30066,7
65,66,Counter Logic Gaming Red,3,3,2,0,29407,8
66,67,CERBERUS Esports,3,2,3,0,29367,8
67,68,F4Q,0,1,0,0,29246,1
68,69,BIG,19,3,1,0,29231,23
69,70,TENSTAR Nova,5,2,1,0,29226,8
70,71,NYFU,4,2,2,0,29083,8
71,72,OpTic Gaming,0,1,0,0,29046,1
72,73,G2 Gozen,2,0,1,0,27960,3
73,74,ahq e-Sports Club,6,1,0,0,27796,7
74,75,TSM X,3,8,0,0,27732,11
75,76,Renegades,7,5,1,0,27675,13
76,77,Team SMG,5,6,3,0,27118,14
77,78,Attack All Around,11,4,2,0,27118,17
78,79,GMT Esports,7,3,2,0,26891,12
79,80,T1,0,1,1,0,26607,2
80,81,Team Exploit,4,0,2,0,26561,6
81,82,NASR Esports,6,0,1,0,26350,7
82,83,XERXIA,2,1,0,0,26248,3
83,84,Alliance,1,1,1,0,26100,3
84,85,Knights,1,6,0,0,24471,7
85,86,Piercer Esports,7,5,1,0,24060,13
86,87,South Built Esports,3,1,1,0,23790,5
87,88,SUMN FC,2,3,0,0,23777,5
88,89,Wave Esports,10,7,3,0,23690,20
89,90,CrowCrowd,0,1,1,0,23310,2
90,91,MAJKL,1,0,0,0,23184,1
91,92,DRX,1,0,0,0,21968,1
92,93,Team Vitality,2,0,2,0,21584,4
93,94,DfuseTeam,3,0,0,0,21555,3
94,95,Guild X,0,3,1,0,21440,4
95,96,Bleed eSports,1,2,1,0,21440,4
96,97,Made in Thailand,3,4,1,0,21397,8
97,98,Fox Gaming,9,1,0,0,21325,10
98,99,Complexity Gaming,3,5,0,0,21300,8
99,100,LDN UTD,3,1,0,0,21300,4
100,101,TENSTAR,1,3,0,0,21279,4
101,102,Team Big BAAM,8,0,1,0,21275,9
102,103,LDM Esports,3,4,1,0,21265,8
103,104,B4 Angels,5,7,1,0,21243,13
104,105,Oxxgen Esports,3,1,1,0,21213,5
105,106,Leviatán,2,2,0,0,21051,4
106,107,9z Team,4,5,5,0,21000,14
107,108,Team BDS,1,1,0,0,20905,2
108,109,LOUD,1,0,0,0,20657,1
109,110,Team nxl,3,2,1,0,20035,6
110,111,Mamba Mode Gaming,15,6,2,0,19837,23
111,112,World Game Star,1,0,0,0,19735,1
112,113,Alter Ego Celestè,11,0,1,0,19700,12
113,114,Estral Esports,7,1,0,0,19698,8
114,115,CBT Gaming,4,1,5,0,19650,10
115,116,paiN Gaming,0,2,0,0,19549,2
116,117,Natus Vincere,1,3,1,0,19478,5
117,118,T1 Korea,0,2,0,0,19301,2
118,119,Fire Flux Esports,2,1,0,0,19228,3
119,120,SCARZ,2,2,0,0,19068,4
120,121,Cloud9 Korea,1,1,0,0,19003,2
121,122,Sharper Esport,3,10,0,0,18828,13
122,123,Six Karma,1,3,2,0,18762,6
123,124,Totoro Gaming,8,7,3,0,18611,18
124,125,Pioneers,1,2,0,0,18498,3
125,126,Liberty Female,3,6,1,0,18463,10
126,127,Prince,0,0,0,0,18190,0
127,128,YaLLa Esports,7,3,0,0,18060,10
128,129,China Nguyen,9,4,1,0,18000,14
129,130,Movistar Riders,2,4,2,0,17846,8
130,131,Opportunists,7,1,0,0,17846,8
131,132,On Sla2ers,0,1,0,0,17779,1
132,133,Team XO,1,6,2,0,17779,9
133,134,UCAM Esports Club,2,3,2,0,17768,7
134,135,need more DM,5,1,2,0,17725,8
135,136,Akrew,5,0,0,0,17688,5
136,137,Built By Gamers,2,3,0,0,17688,5
137,138,nolpenki,5,3,0,0,17686,8
138,139,BlackBird Ignis,2,1,1,0,17616,4
139,140,Action PH,1,3,2,0,17508,6
140,141,Rare Esports,0,0,0,0,17505,0
141,142,Fancy United Esports,5,2,1,0,17463,8
142,143,EZ5,7,2,2,0,17450,11
143,144,Ballista Esports,0,0,1,0,17300,1
144,145,REJECT,1,2,3,0,17300,6
145,146,EXO Clan,3,2,0,0,17110,5
146,147,HEET,5,1,0,0,17017,6
147,148,Royal Never Give Up,10,9,3,0,17017,22
148,149,INGAMING Esports,3,3,0,0,16937,6
149,150,Evil Geniuses,0,1,0,0,16905,1
150,151,Team Majesty,4,2,3,0,16796,9
151,152,ownage,6,7,2,0,16788,15
152,153,OtherSide Esports,0,1,2,0,16778,3
153,154,Susquehanna Soniqs,3,5,0,0,16742,8
154,155,University of Houston Premiere,2,4,1,0,16588,7
155,156,FAV gaming,1,2,1,0,16375,4
156,157,Tales of Eastern,2,2,1,0,16262,5
157,158,Cyber Skull Esports,0,0,0,0,16153,0
158,159,IVY,4,3,2,0,16057,9
159,160,Border Monsters,5,1,0,0,16010,6
160,160,Pretty Boyz,4,3,0,0,16000,7
161,162,Kingsmen,1,5,4,0,15990,10
162,163,Big Frames,8,5,0,0,15940,13
163,164,StartedFromCS,1,2,2,0,15921,5
164,165,Elysium,13,6,1,0,15912,20
165,166,iPon Esport,15,11,2,0,15891,28
166,167,Mindfreak,1,5,0,0,15820,6
167,168,VALORANDO,8,3,0,0,15819,11
168,169,Ghost Gaming,2,2,0,0,15706,4
169,170,Bottom Fraggers,6,5,0,0,15452,11
170,171,Wygers Argentina,1,2,0,0,15449,3
171,172,SLICK,0,0,0,0,15320,0
172,173,HypHypHyp,5,1,1,0,14989,7
173,174,Phoenix1,4,4,0,0,14982,8
174,175,Anonymo Esports,2,3,1,0,14954,6
175,176,aNg DarkHorse,0,2,0,0,14944,2
176,177,Raise Your Edge Gaming,0,0,0,0,14850,0
177,178,mouseSpaz,6,1,2,0,14828,9
178,179,Imperial Esports,0,2,0,0,14762,2
179,180,Rix.GG Lightning,1,1,0,0,14762,2
180,181,FUSION,0,1,0,0,14724,1
181,181,Way 2 French,6,2,1,0,14528,9
182,183,For The Win Esports,6,1,0,0,14521,7
183,184,SoaR,2,2,1,0,14486,5
184,185,Lag Gaming,2,1,1,0,14312,4
185,186,Wildcard Gaming,1,1,1,0,14286,3
186,187,F1 x LS Esports,2,2,2,0,14269,6
187,188,Bonk,0,4,0,0,14003,4
188,189,Todak,3,1,2,0,13890,6
189,190,Samurai Esports,3,4,2,0,13835,9
190,191,THOSE GUYS,6,1,0,0,13725,7
191,192,Team Finest,2,1,1,0,13655,4
192,193,Prospects,6,7,0,0,13618,13
193,194,Stars Horizon,1,0,0,0,13480,1
194,195,AWARIA,1,3,1,0,13480,5
195,196,XSET Female,0,2,0,0,13408,2
196,197,Furious Gaming,2,6,2,0,13325,10
197,198,Sengoku Gaming,0,2,0,0,13295,2
198,199,CGN Esports,0,4,1,0,13135,5
199,200,FishkaVTom,9,2,1,0,13057,12
200,201,İstanbul Wildcats,2,0,0,0,12976,2
201,202,Reckoning Esports,2,5,5,0,12972,12
202,203,Purple Cobras,4,1,1,0,12932,6
203,204,Excel Esports,1,1,0,0,12841,2
204,205,PartyParrots,4,1,0,0,12820,5
205,206,Moon Raccoons,1,5,2,0,12798,8
206,207,APEX PEOPLE,3,0,0,0,12780,3
207,208,PENTA,2,0,1,0,12713,3
208,209,Oasis Gaming,1,1,1,0,12687,3
209,210,Stars Horizon Vênus,1,1,1,0,12670,3
210,211,ROX TEAM,2,1,1,0,12425,4
211,212,tyeasy,0,1,1,0,12375,2
212,213,Echo 8,5,1,1,0,12355,7
213,214,DivisionX Gaming,3,4,3,0,12293,10
214,215,KOVA,0,1,0,0,12283,1
215,216,B4 Esports,2,2,1,0,12275,5
216,217,DetonatioN Gaming,1,1,1,0,12250,3
217,217,True Rippers Esports,1,2,5,0,12200,8
218,219,Zero Zone,0,0,1,0,12083,1
219,220,Moon Raccoons Black,0,0,1,0,12023,1
220,220,Dignitas,0,1,0,0,11945,1
221,222,Keyd Stars Athenas,0,2,2,0,11904,4
222,223,Divinity,0,0,0,0,11901,0
223,224,Anatolia Esports,0,3,0,0,11898,3
224,225,Spot Up,6,3,3,0,11878,12
225,226,Only One Word,2,0,1,0,11850,3
226,227,Nigma Galaxy,2,2,0,0,11794,4
227,228,TSM Academy,2,2,0,0,11782,4
228,229,Nigma Galaxy Female,3,4,1,0,11700,8
229,230,Kafalar Esports,0,1,0,0,11637,1
230,231,EDward Gaming,5,7,3,0,11553,15
231,232,3BL Esports,1,2,2,0,11496,5
232,233,Vorax,0,1,0,0,11403,1
233,234,Team Underrated,4,3,0,0,11360,7
234,234,together we are terrific,4,3,0,0,11352,7
235,236,Team Bliss,4,0,2,0,11325,6
236,237,TBK Esports,0,0,0,0,11259,0
237,238,Ovation eSports,2,5,3,0,11250,10
238,239,KPI Gaming,3,0,1,0,11193,4
239,240,Noble,2,1,1,0,11170,4
240,241,NG.Black,1,1,1,0,11133,3
241,242,KaiXin Esports,8,4,6,0,11000,18
242,243,FS Esports,5,3,1,0,10938,9
243,244,Geekay Esports,1,2,0,0,10890,3
244,245,Overtime Esports,1,4,0,0,10862,5
245,246,HSDIRR,4,3,0,0,10844,7
246,247,Team Launch,1,1,0,0,10830,2
247,248,Digital Athletics,2,1,0,0,10814,3
248,249,Thunderbolts Gaming,0,1,1,0,10742,2
249,250,GodLike Esports,0,3,3,0,10740,6
250,251,Team Falcons,2,0,0,0,10706,2
251,252,Rix.GG Thunder,0,1,1,0,10669,2
252,253,FABRIKEN,3,5,1,0,10659,9
253,254,KONE,0,1,2,0,10650,3
254,255,XPLDZ,0,1,1,0,10648,2
255,256,PACT,4,1,0,0,10620,5
256,257,Anorthosis Famagusta Esports,2,1,3,0,10605,6
257,258,Last Round Save,7,4,0,0,10568,11
258,259,Skull Cracker Fem,3,3,0,0,10559,6
259,260,PROPARTY,0,1,0,0,10520,1
260,261,NOTHING2LOSE,2,1,0,0,10415,3
261,262,Team Queso,3,2,0,0,10302,5
262,263,smoke,6,5,0,0,10176,11
263,264,DKS Esports,2,2,1,0,10171,5
264,265,Ferrari Peek,8,1,0,0,10164,9
265,266,Man I Love Fwogs,1,3,1,0,10141,5
266,267,Angry Titans,3,1,0,0,9981,4
267,268,Squad5,2,0,0,0,9866,2
268,269,Project X,3,3,0,0,9720,6
269,270,BearClaw Gaming,0,1,0,0,9703,1
270,271,Mod-Z Esports,0,0,0,0,9693,0
271,272,Entropiq,2,2,0,0,9675,4
272,273,PEACE,0,2,0,0,9650,2
273,274,ArkAngel,1,2,0,0,9650,3
274,275,ZFGaming,1,1,1,0,9437,3
275,276,Axsor,4,1,0,0,9428,5
276,277,Cairo City G'zzz,0,2,2,0,9380,4
277,278,Team oNe,0,3,0,0,9380,3
278,279,Aricat Esport,4,0,0,0,9331,4
279,280,Team Serenity,2,6,2,0,9255,10
280,281,Gen.G Black,1,2,1,0,9225,4
281,282,SuperMassive Blaze Female,0,2,0,0,9193,2
282,283,GiefKalash,3,2,0,0,9192,5
283,284,Rebirth Esports,1,3,3,0,9080,7
284,285,SV Empire,0,4,3,0,9033,7
285,285,SAW,3,1,0,0,9020,4
286,287,YFP Gaming,2,3,1,0,9006,6
287,288,Rio Company,0,0,0,0,8953,0
288,289,TUBEPLE Gaming,0,0,0,0,8908,0
289,290,Warriors,3,3,1,0,8895,7
290,291,MOUZ,0,0,1,0,8888,1
291,292,Beşiktaş Esports,0,0,1,0,8874,1
292,293,Team Weibo,3,4,3,0,8870,10
293,294,Zeal Esports,1,2,1,0,8870,4
294,295,ehehxd,4,6,0,0,8853,10
295,296,INTZ Angels,2,3,0,0,8850,5
296,297,No Mercy,3,1,0,0,8800,4
297,298,Morning Light,2,3,1,0,8732,6
298,298,KRÜ Fem,3,0,0,0,8731,3
299,300,Exceeli Esports,2,1,1,0,8674,4
300,301,Wichita Wolves,7,2,2,0,8672,11
301,302,Kaos Latin Gamers,2,1,1,0,8669,4
302,303,Thailand Attitude,2,1,0,0,8663,3
303,304,BLUE BEES,1,1,0,0,8625,2
304,305,Illuminar Gaming,1,2,0,0,8598,3
305,306,Mystify,3,2,1,0,8591,6
306,307,Team Lixa,10,4,3,0,8591,17
307,308,Wygers,1,0,2,0,8591,3
308,309,Highground,2,4,0,0,8571,6
309,310,Worst Players,1,3,3,0,8534,7
310,311,Suning,2,2,3,0,8534,7
311,312,Chakalaka,6,1,0,0,8472,7
312,313,LOL-,1,1,0,0,8440,2
313,314,Surreal Esports,3,1,1,0,8440,5
314,315,Oxygen Supremacy,2,3,2,0,8422,7
315,316,Elevate,1,2,1,0,8414,4
316,317,Legacy Esports,0,1,0,0,8388,1
317,318,Team Liquid Brazil,2,0,0,0,8361,2
318,319,ROYALS,2,1,0,0,8354,3
319,320,FW ESPORTS,2,4,0,0,8337,6
320,321,Reality Rift,1,1,2,0,8317,4
321,322,Real Betis,1,3,0,0,8249,4
322,323,Meta Gaming,0,1,1,0,8150,2
323,323,Code7,1,3,1,0,8132,5
324,323,Akave Esports,2,1,0,0,8124,3
325,326,looking4org,3,0,1,0,8122,4
326,327,VIMDOLOL,0,1,1,0,8114,2
327,328,Mixup,2,0,2,0,8105,4
328,329,OG,0,0,0,0,8100,0
329,330,Rebels Gaming,1,1,0,0,8061,2
330,331,PDHM Gaming,5,1,1,0,8057,7
331,332,flow state,1,6,1,0,8037,8
332,333,SUPRMODE,1,1,0,0,8008,2
333,334,Northeption,0,1,1,0,8003,2
334,335,eXiLe eSports,4,3,1,0,7968,8
335,336,Revolution,1,2,0,0,7967,3
336,337,EveryBodyDance,3,0,0,0,7955,3
337,338,Tek Gaming,2,3,0,0,7937,5
338,339,Los Grandes,2,0,0,0,7934,2
339,340,Sangal Esports,0,1,0,0,7932,1
340,341,Arctic,2,1,0,0,7930,3
341,342,Celeste Esports,6,2,0,0,7919,8
342,343,Skull Cracker,3,0,1,0,7914,4
343,344,FENNEL,0,0,0,0,7867,0
344,345,2G4L,1,3,3,0,7843,7
345,346,DarkZero Esports,0,1,2,0,7808,3
346,347,Futbolist Female,0,0,0,0,7802,0
347,348,Quantum Strikers,1,1,0,0,7798,2
348,349,AoeXe,2,2,2,0,7792,6
349,350,LIZHI,0,0,0,0,7782,0
350,351,Optix,0,2,2,0,7755,4
351,351,ascend,2,2,0,0,7745,4
352,353,Penguin Sledding,5,1,1,0,7711,7
353,354,WATAHA,4,2,2,0,7692,8
354,354,Avenue Esports,6,5,0,0,7659,11
355,356,BBL Queens,0,0,0,0,7650,0
356,357,The Ultimates,0,1,1,0,7642,2
357,358,Crypto Esports,1,1,1,0,7617,3
358,359,Dire Wolves,0,0,0,0,7544,0
359,360,Ryze Gaming,1,2,0,0,7523,3
360,361,Team FANGS,7,0,1,0,7485,8
361,362,Kanga Esports,0,1,1,0,7457,2
362,363,Vengeance,7,7,2,0,7448,16
363,364,Aim.Attack,1,3,0,0,7435,4
364,365,FRENCH CANADIANS,1,0,1,0,7428,2
365,366,19esports,0,1,0,0,7389,1
366,367,eSuba,2,1,2,0,7380,5
367,368,Spacestation Gaming,1,0,1,0,7361,2
368,369,Diamant Esports,6,2,2,0,7332,10
369,370,Funkboings,0,2,2,0,7329,4
370,371,Fadee Gaming,1,4,0,0,7308,5
371,372,Enterprise Esports,0,2,0,0,7299,2
372,373,Entropiq Bravo,4,0,1,0,7298,5
373,374,big pizza,2,0,0,0,7293,2
374,375,Ground Zero Gaming,1,0,1,0,7274,2
375,376,Rex Regum Qeon,0,1,0,0,7269,1
376,377,QLASH Egypt,0,0,1,0,7255,1
377,378,beastcoast,0,1,1,0,7253,2
378,379,Complexity GX3,1,0,0,0,7251,1
379,380,HaZe Clan,0,0,0,0,7250,0
380,381,S2V Esports,0,1,0,0,7250,1
381,382,Avant Gaming,0,0,1,0,7244,1
382,383,VersionX,0,0,0,0,7236,0
383,384,DeToNator,0,0,0,0,7236,0
384,385,CYCLOPS athlete gaming,0,1,1,0,7236,2
385,386,Chiefs Esports Club,1,0,0,0,7228,1
386,387,Falkol eSports,1,0,1,0,7227,2
387,388,Fenerbahçe Esports,1,0,0,0,7185,1
388,389,TERROR.NET,3,0,0,0,7180,3
389,390,Dark Passage,0,1,0,0,7160,1
390,391,Case Esports,0,2,1,0,7160,3
391,392,Team Empire,1,0,0,0,7160,1
392,392,T1 Academy,0,1,0,0,7158,1
393,394,FURY,0,0,0,0,7156,0
394,395,eRa Eternity,4,0,0,0,7151,4
395,396,SKADE,0,0,0,0,7150,0
396,397,Black Dragons,0,0,0,0,7130,0
397,398,Unicorns of Love,0,0,0,0,7110,0
398,399,Nora-Rengo,1,0,0,0,7074,1
399,400,Lunatic-hai,0,0,1,0,7060,1
400,401,DETONA Gaming,1,0,0,0,7059,1
401,402,Lunatic-hai FLUX,0,1,0,0,7050,1
